date,MG,billed_kWh,kW,total_kWh, Operation_bill 
40179.00,7.68,23486.4,1052.8,23486.4,31236.91
40180.00,7.71,23788.8,1052.8,23788.8,31639.10
40181.00,7.84,24410.4,1097.6,24410.4,32465.83
40182.00,8.48,22064,996.8,22064,29345.12
40183.00,7.97,21694.4,974.4,21694.4,28853.55
40184.00,7.77,21834.4,996.8,21834.4,29039.75
40185.00,7.87,21924,1008,21924,29158.92
40186.00,7.77,22349.6,996.8,22349.6,29724.97
40187.00,7.53,22036,1097.6,22036,29307.88
40188.00,8.09,24203.2,1097.6,24203.2,32190.26
40189.00,7.73,23973.6,1108.8,23973.6,31884.89
40190.00,8.21,24158.4,1075.2,24158.4,32130.67
40191.00,8.14,24477.6,1086.4,24477.6,32555.21
40192.00,8.21,24152.8,1097.6,24152.8,32123.22
40193.00,8.51,24791.2,1086.4,24791.2,32972.30
40194.00,8.49,24365.6,1097.6,24365.6,32406.25
40195.00,8.2,23480.8,1030.4,23480.8,31229.46
40196.00,9.13,23923.2,1086.4,23923.2,31817.86
40197.00,8.74,23161.6,1064,23161.6,30804.93
40198.00,9.76,24130.4,1075.2,24130.4,32093.43
40199.00,12.3,26812.8,1299.2,26812.8,35661.02
40200.00,13.91,27266.4,1232,27266.4,36264.31
40201.00,15.44,27165.6,1232,27165.6,36130.25
40202.00,15.97,26252.8,1198.4,26252.8,34916.22
40203.00,15.6,27109.6,1232,27109.6,36055.77
40204.00,16.22,28224,1265.6,28224,37537.92
40205.00,15.23,27703.2,1265.6,27703.2,36845.26
40206.00,13.94,26801.6,1220.8,26801.6,35646.13
40207.00,13.23,27143.2,1265.6,27143.2,36100.46
40208.00,13.8,27322.4,1243.2,27322.4,36338.79
40209.00,10.25,25827.2,1198.4,25827.2,34350.18
40210.00,9.68,26348,1164.8,26348,35042.84
40211.00,9.16,25222.4,1120,25222.4,33545.79
40212.00,8.79,25015.2,1164.8,25015.2,33270.22
40213.00,8.31,26409.6,1220.8,26409.6,35124.77
40214.00,10.03,25575.2,1164.8,25575.2,34015.02
40215.00,11.47,26056.8,1164.8,26056.8,34655.54
40216.00,12.2,26213.6,1187.2,26213.6,34864.09
40217.00,10.94,25256,1164.8,25256,33590.48
40218.00,10.89,25244.8,1153.6,25244.8,33575.58
40219.00,9.94,25284,1097.6,25284,33627.72
40220.00,10.14,26129.6,1142.4,26129.6,34752.37
40221.00,9.99,25681.6,1120,25681.6,34156.53
40222.00,9.48,25726.4,1198.4,25726.4,34216.11
40223.00,9.58,26336.8,1187.2,26336.8,35027.94
40224.00,9.23,26129.6,1187.2,26129.6,34752.37
40225.00,9.83,25317.6,1142.4,25317.6,33672.41
40226.00,9.35,26230.4,1187.2,26230.4,34886.43
40227.00,9.76,26280.8,1153.6,26280.8,34953.46
40228.00,10.01,26196.8,1198.4,26196.8,34841.74
40229.00,10.23,24763.2,1142.4,24763.2,32935.06
40230.00,11.46,25496.8,1198.4,25496.8,33910.74
40231.00,14.08,27378.4,1254.4,27378.4,36413.27
40232.00,14.34,27048,1254.4,27048,35973.84
40233.00,13.7,26493.6,1198.4,26493.6,35236.49
40234.00,13.51,26079.2,1164.8,26079.2,34685.34
40235.00,13.32,26465.6,1220.8,26465.6,35199.25
40236.00,13.24,26359.2,1232,26359.2,35057.74
40237.00,13,25888.8,1164.8,25888.8,34432.10
40238.00,12.07,25524.8,1153.6,25524.8,33947.98
40239.00,10.23,24444,1108.8,24444,32510.52
40240.00,10.28,25351.2,1142.4,25351.2,33717.10
40241.00,9.7,25082.4,1120,25082.4,33359.59
40242.00,9.93,24640,1142.4,24640,32771.20
40243.00,9.66,25071.2,1176,25071.2,33344.70
40244.00,9.75,24057.6,1086.4,24057.6,31996.61
40245.00,9.87,24964.8,1153.6,24964.8,33203.18
40246.00,9.71,25373.6,1164.8,25373.6,33746.89
40247.00,10.06,24628.8,1108.8,24628.8,32756.30
40248.00,9.91,24460.8,1120,24460.8,32532.86
40249.00,10.49,23301.6,1120,23301.6,30991.13
40250.00,11.48,23004.8,1086.4,23004.8,30596.38
40251.00,11.78,23716,1075.2,23716,31542.28
40252.00,10.59,23441.6,1064,23441.6,31177.33
40253.00,10.41,24192,1108.8,24192,32175.36
40254.00,9.98,24701.6,1097.6,24701.6,32853.13
40255.00,9.09,24393.6,1097.6,24393.6,32443.49
40256.00,8.75,24304,1097.6,24304,32324.32
40257.00,8.71,24651.2,1131.2,24651.2,32786.10
40258.00,8.31,24774.4,1176,24774.4,32949.95
40259.00,11.36,26370.4,1198.4,26370.4,35072.63
40260.00,12.23,25636.8,1153.6,25636.8,34096.94
40261.00,10.51,25692.8,1153.6,25692.8,34171.42
40262.00,11.66,26784.8,1456,26784.8,35623.78
40263.00,14.48,27294.4,1388.8,27294.4,36301.55
40264.00,15.12,27764.8,1232,27764.8,36927.18
40265.00,15.24,28649.6,1422.4,28649.6,38103.97
40266.00,16.95,28420,1265.6,28420,37798.60
40267.00,14.58,28509.6,1310.4,28509.6,37917.77
40268.00,15.24,27238.4,1254.4,27238.4,36227.07
40269.00,13.25,28604.8,1377.6,28604.8,38044.38
40270.00,14.54,26129.6,1265.6,26129.6,34752.37
40271.00,15.1,27546.4,1232,27546.4,36636.71
40272.00,13.92,26936,1243.2,26936,35824.88
40273.00,13.08,25552.8,1142.4,25552.8,33985.22
40274.00,9.76,24063.2,1108.8,24063.2,32004.06
40275.00,10.44,24477.6,1276.8,24477.6,32555.21
40276.00,31.56,33588.8,1568,33588.8,44673.10
40277.00,19.21,29237.6,1310.4,29237.6,38886.01
40278.00,15.63,27126.4,1220.8,27126.4,36078.11
40279.00,15.15,27020,1187.2,27020,35936.60
40280.00,15.14,26930.4,1209.6,26930.4,35817.43
40281.00,12.58,25211.2,1187.2,25211.2,33530.90
40282.00,11.56,25396,1176,25396,33776.68
40283.00,10.18,25967.2,1198.4,25967.2,34536.38
40284.00,10.04,24824.8,1097.6,24824.8,33016.98
40285.00,9.27,25149.6,1142.4,25149.6,33448.97
40286.00,8.8,23480.8,1086.4,23480.8,31229.46
40287.00,8.87,25093.6,1131.2,25093.6,33374.49
40288.00,9.1,24830.4,1164.8,24830.4,33024.43
40289.00,9.35,25194.4,1142.4,25194.4,33508.55
40290.00,8.87,24528,1097.6,24528,32622.24
40291.00,10.05,24214.4,1097.6,24214.4,32205.15
40292.00,13.01,25356.8,1288,25356.8,33724.54
40293.00,15.83,27832,1243.2,27832,37016.56
40294.00,18.39,28980,1355.2,28980,38543.40
40295.00,18.2,27608,1321.6,27608,36718.64
40296.00,17.66,26924.8,1176,26924.8,35809.98
40297.00,13.74,25995.2,1164.8,25995.2,34573.62
40298.00,10.3,23828,1075.2,23828,31691.24
40299.00,13.08,25496.8,1187.2,25496.8,33910.74
40300.00,14.95,26107.2,1209.6,26107.2,34722.58
40301.00,15.78,25334.4,1142.4,25334.4,33694.75
40302.00,15.73,27602.4,1276.8,27602.4,36711.19
40303.00,15.78,26023.2,1265.6,26023.2,34610.86
40304.00,14.65,25648,1120,25648,34111.84
40305.00,10.79,24718.4,1131.2,24718.4,32875.47
40306.00,10.25,24466.4,1120,24466.4,32540.31
40307.00,9.28,24080,1108.8,24080,32026.40
40308.00,9.27,24892,1120,24892,33106.36
40309.00,13.96,24819.2,1142.4,24819.2,33009.54
40310.00,15.05,25877.6,1176,25877.6,34417.21
40311.00,14.22,24953.6,1108.8,24953.6,33188.29
40312.00,12.4,25351.2,1142.4,25351.2,33717.10
40313.00,10.53,24813.6,1120,24813.6,33002.09
40314.00,10.88,24214.4,1097.6,24214.4,32205.15
40315.00,13.78,27832,1489.6,27832,37016.56
40316.00,17.99,29366.4,1310.4,29366.4,39057.31
40317.00,18.97,29674.4,1321.6,29674.4,39466.95
40318.00,16.89,27574.4,1220.8,27574.4,36673.95
40319.00,16.17,27876.8,1276.8,27876.8,37076.14
40320.00,14.97,24774.4,1220.8,24774.4,32949.95
40321.00,12.08,25026.4,1108.8,25026.4,33285.11
40322.00,10.73,24298.4,1120,24298.4,32316.87
40323.00,9.88,22926.4,1075.2,22926.4,30492.11
40324.00,9.32,24024,1120,24024,31951.92
40325.00,9.19,24365.6,1108.8,24365.6,32406.25
40326.00,10.28,24550.4,1064,24550.4,32652.03
40327.00,8.13,23581.6,1030.4,23581.6,31363.53
40328.00,7.56,22215.2,1008,22215.2,29546.22
40329.00,8.49,23088.8,1108.8,23088.8,30708.10
40330.00,8.93,22288,1030.4,22288,29643.04
40331.00,8.88,22540,1019.2,22540,29978.20
40332.00,9.99,23228.8,1052.8,23228.8,30894.30
40333.00,8.74,22534.4,996.8,22534.4,29970.75
40334.00,7.8,21767.2,952,21767.2,28950.38
